title,company,location,how_old,link
BACKEND DEVELOPER (PYTHON),Serasa,"Blumenau, SC",Postedhá 8 dias,https://br.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C6P22BKrgRM_aaP4ZL-pHcBCN9xTqFjn8HoUgPko0kHPdx0r71Ff00nQWHX4JPTYaju9M5_C5iJo4J9v9hsiiuCRrSt3e4KMeRxxRxBa1-ORYapHoOM6wZp94CUR4Olo1QyZY_wiMg2FQg_A_G_UKPLnpovpKXHyp9viAcE7DcjvJ-dZLwLbQpS4s0o7_lPliHfm8C_RuWCiWgZFnfIJzO2h7usduTQNM016c4k7R9-EQ91lSOEf-xm17PCFhzV9bcJ2amliFbJAo7jXJVS-vzX953_IiCZInu8Bs9dHM-Fhd9fnC494o44PpocvULWb3XrhSVKfamxNhYaadPA5Qmyx4a6C-bmtSIPE6w7Tdj-EAEKrrSqikkkt6SSxpSf3GkhfrpyVMtZpK-J4LDKcG4aWa2H03RdOnMHOlqGUuo-nrjpZ1v8yWGhgCfGhcvPCYKCUUzoAOSP8xKzoM3geQwGRFdHrXEiz_kBW7ThqbjntM-ZoREo3Mr&p=0&fvj=0&vjs=3
BACKEND DEVELOPER (PYTHON/GOLANG),Serasa,"Blumenau, SC",Postedhá 21 dias,https://br.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C6P22BKrgRM_aaP4ZL-pHcBCN9xTqFjn8HoUgPko0kHPdx0r71Ff00nQWHX4JPTYbKePAGyM_KYbqOVAEBstCnqiaLPm6Hb5qBRVMACV5Bm_ci_NvADVjmKz0Nj_N_FgkD2VyEYeO57UtS_tX5WGQU55qbJqydeD8QYLFSKk-2OEYsHE-TIB37xN6mxwA_b5uVTDk7y36ZPs58731tz8A7LohgyrichLR0kB_iicFKoseB5MhErRnsQ7XtMYMdjkc2Fhajeb6IknmJIaI6l8q23ZPs8HDSus46EY79hHjEQayirpnersGR6AyLZFZ0As5N1y8rCju_ZziaRhIs3cBGaEMgW5g54lzd833JfE2VhJz0ZRV_367FgkWFlcggfG2nZmPR0bxlLkELn8euxHZjPxpVUi2QKUruASMAbJ-4jADEyeMCE20DAerzqb8QiFBe8q_yz8BTDYKJ8iEpDITT1eh8Cx07-c42Kuo3JhDIMzIi_1iJ-T44&p=1&fvj=0&vjs=3
BACKEND DEVELOPER (PYTHON/GO),Serasa,"Blumenau, SC",Postedhá 9 dias,https://br.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C6P22BKrgRM_aaP4ZL-pHcBCN9xTqFjn8HoUgPko0kHPdx0r71Ff00nQWHX4JPTYb5MvOyxXhUmBS988L6p-iGz-3_kycp7AxtncuTqDdl_5-nDX5nYt2ekxWcus7t258DhfRm5mkMpC3EJ1KIaAJu-jNukd-dsbluXd-Nd84jPh6Gs8pjpsdnM4e5YJNnoAX5XNMQAniPKmLqA-DMYzpvqi9Rzrgicp6zTVbNe0qSd_4PnG_jraqNd5iZxtW1XxHAdjcmJ4CYHoB10P2LpCH5__pCNytpOYpMdnNs46Himua2fh1sXzXhMbXPtpVj1CzBlhqlvI4WRNh1blY2zlz82DMXyilHfC1G-g-0g6abaFwRJTqjGgxgACaBmNk2kgVv2J12qBjnTSeth7IlS1yyi7qcmkGFxDwcHwlUaVpHcYo6d8HtOsB3Fe4rOSDML6-722rRVxkMZ3bleyN6cFVlU28CQaAs88NgkAewD060NESM8STNnyeN&p=2&fvj=0&vjs=3
Desenvolvedor Python,Locus Custom Software,Home office,PostedHoje,https://br.indeed.com/rc/clk?jk=4cfc3cf79d16906b&fccid=0c389d94a3baff35&vjs=3
Selenium + Python,Wipro Limited,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=d7285950a074a506&fccid=8d25321c1defe73f&vjs=3
Python Developer,Metal Toad Media,"São Paulo, SP",PostedHoje,https://br.indeed.com/company/Metal-Toad-Media/jobs/Python-Developer-60a801153a50915e?fccid=097323e2e1eacb6c&vjs=3
Pessoa Bolsista Desenvolvedora Python (IA),Dell Lead,,PostedHoje,https://br.indeed.com/company/Lead-Dell/jobs/Pessoa-Bolsista-Desenvolvedora-Python-0da5dbb64529a113?fccid=01ed06d93b61278d&vjs=3
Pessoa Estagiária de People Analytics (OLX),OLX Brasil,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=cca62ba7191ded3b&fccid=12b3429da7a7d790&vjs=3
Estágio em Desenvolvimento em Python,Seazone,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=825d6522af82ebcf&fccid=e326532d41ab2aca&vjs=3
Desenvolvedor Back End - Python,Gedanken,"Home office in São Paulo, SP",Postedhá 2 dias,https://br.indeed.com/rc/clk?jk=b26e61ae0d69cdd8&fccid=44bf43fc2a87448f&vjs=3
